Auth,Applicant,Count,Country,Kind
WO,CHINESE ACADEMIES&UNIVERSITIES,29.0,CN,U
WO,CORTEVA,15.0,US,F
WO,BAYER,12.0,DE,F
WO,INARI,12.0,US,F
WO,PAIRWISE PLANTS SERVICES,9.0,US,F
WO,KWS,8.0,DE,F
WO,SYNGENTA,7.0,CH,F
WO,BETTERSEEDS,6.333333333333333,IL,F
WO,KEYGENE,5.5,NL,F
WO,UNIVERSITY OF CALIFORNIA,4.0,US,U
WO,UNIVERSITY OF FLORIDA,4.0,US,U
WO,CIBUS,3.0,US,F
WO,SHANDONG SB,3.0,CN,F
WO,TOOLGEN,2.5,KR,F
WO,FUTURAGENE ISRAEL,2.0,IL,F
WO,NARO,2.0,JP,U
WO,QINGDAO KCC,2.0,CN,F
WO,SINOBIOWAY BA,2.0,CN,F
WO,SUZHOU QI BB,2.0,CN,F
WO,TROPIC BIOSCIENCES,2.0,UK,F
WO,UNIVERSITY OF OSAKA,2.0,JP,U
WO,UNIVERSITY OF TEL AVIV,2.0,IS,U
WO,COLD SPRING HARBOR LABORATORY,1.5,US,U
WO,AIST,1.0,JP,U
WO,ALPINE BIOTHERAPEUTICS,1.0,US,F
WO,ARCADIA BIOSCIENCES,1.0,US,F
WO,BASF,1.0,DE,F
WO,"BERMAN, James",1.0,I,I
WO,CANOPY,1.0,CA,F
WO,CERES,1.0,US,F
WO,CSIRO,1.0,AU,U
WO,CTC,1.0,BR,F
WO,DANZIGER INNOVATIONS,1.0,IS,F
WO,DLF,1.0,DK,F
WO,ELSOMS,1.0,UK,F
WO,FLORIMOND DESPREZ,1.0,FR,F
WO,FORTIPHYTE,1.0,US,F
WO,GFLAS LIFE SCIENCES,1.0,KR,F
WO,GRA&GREEN,1.0,JP,F
WO,GREENGENE,1.0,KR,F
WO,GUANGDONG SB,1.0,CN,F
WO,"HANLEY, Brian, P.",1.0,I,I
WO,INSTITUTE SEATTLE CHILDRENS HOSPITAL,1.0,US,U
WO,JP TOBACCO,1.0,JP,F
WO,JR SIMPLOT,1.0,US,F
WO,KANEKA CORP,1.0,JP,F
WO,KT&G,1.0,KR,F
WO,LIMAGRAIN,1.0,FR,F
WO,LOGOMIX,1.0,JP,F
WO,MAMMOTH BIOSCIENCES,1.0,US,F
WO,NOBLE RESEARCH INSTITUTE,1.0,US,U
WO,OHALO GENETICS,1.0,US,F
WO,OHIO STATE INNOVATION FOUNDATION,1.0,US,U
WO,PHILIP MORRIS,1.0,US,F
WO,PLASTOMICS,1.0,US,F
WO,REPUBLIC OF KR,1.0,KR,U
WO,RJ REYNOLDS TOBACCO,1.0,US,F
WO,RUMAFEED,1.0,IL,F
WO,RURAL DEV AGRICULTURAL RESEARCH ORG,1.0,IS,U
WO,SPOTLIGHT THERAPEUTICS,1.0,US,F
WO,SWETREE TECH,1.0,SE,F
WO,SYNTHEGO,1.0,US,F
WO,UNIVERSITY OF ARIZONA,1.0,US,U
WO,UNIVERSITY OF COLUMBIA,1.0,US,U
WO,UNIVERSITY OF GYEONGSANG NATIONAL,1.0,KR,U
WO,UNIVERSITY OF KOBE ,1.0,JP,U
WO,UNIVERSITY OF MINNESOTA,1.0,US,U
WO,UNIVERSITY OF NORTH CAROLINA STATE,1.0,US,U
